text,name
 ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Sure it wasðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 K bro,Ishnoor Singh
 Think whatever you want,Ishnoor Singh
 Thatâ€™s exactly what Iâ€™ve been doing bro,Pulak
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 K.... You suck,Ishnoor Singh
 I am aware of that fact,Pulak
 Last week in India about to start,Pulak
 Aw what happened?,Ishnoor Singh
 How you feeling,Pulak
 You screwed up again?,Ishnoor Singh
 Excited,Pulak
 Lol no chill,Pulak
 Ok .... Bro.. let's not go there... My life just went mad yesterday,Ishnoor Singh
 What happened,Pulak
 I CAN'T TELL ANYONE... I SWORE I WON'T...,Ishnoor Singh
" Okay okay, calm down",Pulak
 Tell me whatever you cAn,Pulak
 No pressure,Pulak
 Its awesome and is very wierd,Ishnoor Singh
 But I can't tell anyone,Ishnoor Singh
 So your life went the good kind of mad?,Pulak
 If itâ€™s awesome,Pulak
 Hahaha.... You could say ski,Ishnoor Singh
 *so,Ishnoor Singh
 Okay then thatâ€™s great,Pulak
 Iâ€™m curious but you donâ€™t have to tell,Pulak
 Excellent news,Pulak
 Bro...,Ishnoor Singh
 I wanna lol,Ishnoor Singh
 But... Ummmm,Ishnoor Singh
 Consider it revenge .... Only that I told you ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 You promised someone that you wonâ€™t?,Pulak
 ðŸ˜‚ðŸ˜‚ I get it,Pulak
 K brooooooooo I hope you do,Ishnoor Singh
 Such mystery,Pulak
 <Media omitted>,Ishnoor Singh
 Niceee,Pulak
 You now have a bb partner,Pulak
 Lol,Ishnoor Singh
 I'll stand on your shoulders and then we can play,Ishnoor Singh
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Packed my first suitcase,Ishnoor Singh
 Twice ðŸ˜‚,Ishnoor Singh
 Perfecto,Pulak
 Lol,Ishnoor Singh
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 Wow that was early,Pulak
 This is not sarcasm,Pulak
 Bro ma saying we late,Ishnoor Singh
 How many did you rate for yourself?,Ishnoor Singh
 *take,Ishnoor Singh
 I have two suitcases,Pulak
 One big and one small,Pulak
 Hmmmmm,Ishnoor Singh
 And two backpacks,Pulak
 One empty duffel bag,Pulak
 And a backpack,Pulak
 Ohhh thanks mate!!!,Ishnoor Singh
 Nothing interesting in college?,Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 Not at that moment noðŸ˜‚,Pulak
 Btw get ready for a shit ton of free stuff,Pulak
 What? Like?,Ishnoor Singh
 Aunty uncle back in India?,Ishnoor Singh
 Shirts and bottles and all,Pulak
 I have gotten 8 free tshirts,Pulak
 Flight is tonight,Pulak
 Oh oh... How're they?,Ishnoor Singh
 Very emotional,Pulak
 And you?,Ishnoor Singh
 I was kept really busy throughout the day,Pulak
 So it hasnâ€™t sunk in yet,Pulak
 But before saying bye to them it kinda sunk in,Pulak
 And it sucked,Pulak
 But itâ€™ll sink in worse tonight,Pulak
 Yeah lol.... I've been wondering the same,Ishnoor Singh
 Seems like tough bro,Ishnoor Singh
 ðŸ˜‚ðŸ˜…,Ishnoor Singh
 Anyways ... How's all else?,Ishnoor Singh
 Played any sport?,Ishnoor Singh
 Professors good or Shelly Ma'am style ðŸ˜‚ðŸ˜‚ðŸ˜‚?,Ishnoor Singh
 So Iâ€™m just going to tire myself to sleep,Pulak
 ðŸ˜‚,Ishnoor Singh
 That's what I'm missing man being tired to sleep... Too boring here ðŸ˜‚,Ishnoor Singh
 Lolol,Pulak
 It will be,Pulak
 Pretty good,Pulak
 Tiring but amaze,Pulak
 Visited the gym and played a little bb,Pulak
 But rec centre is 30 mins walk so Iâ€™m too lazy to go,Pulak
 We play inside if we have to,Pulak
 Professors are amaze,Pulak
 My English course theme is time travel,Pulak
 I dove right into it,Pulak
 Itâ€™s not pleasant anymore,Pulak
 Lol,Ishnoor Singh
 It's awesome lol,Ishnoor Singh
 Whatâ€™s awesome,Pulak
 wel..,Ishnoor Singh
 soo what you doing for her?,Ishnoor Singh
 Sigh I was planning stuff but Iâ€™ve barely had time to do it yet,Pulak
 Itâ€™s going to be late,Pulak
 lol,Ishnoor Singh
" Gotta reach my room, finish hw and then get working",Pulak
 should i ask?,Ishnoor Singh
 you haev 7 hrs and 56 mins lol,Ishnoor Singh
 Iâ€™m still late,Pulak
 What o was planning was a deliverable good,Pulak
 Itâ€™ll take time to reach,Pulak
 lol,Ishnoor Singh
 ordering online?,Ishnoor Singh
 Basically yes,Pulak
 But Iâ€™ll figure out something in the evening and make a small video,Pulak
 So that I can at least send somethjng at 12,Pulak
 Oho,Ishnoor Singh
 Busy night?,Ishnoor Singh
 ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Enjoy,Ishnoor Singh
 You donâ€™t even know,Pulak
 g on,Ishnoor Singh
 I have three assignments due at midnight,Pulak
" And I had to go rafting with my llc today, on my way back",Pulak
 Lol no sinking this time I hope?,Ishnoor Singh
 You'll manage,Ishnoor Singh
 I jumped lol,Pulak
 Yeah my courses arenâ€™t difficult,Pulak
 But I also wanna do something for her within that time,Pulak
 Thatâ€™s the challenging part,Pulak
 idiot,Ishnoor Singh
 That's your strong suit isn't it?,Ishnoor Singh
 Anything I can do to help?,Ishnoor Singh
 It was fun,Pulak
 Everybody did,Pulak
 We floated for a few feet,Pulak
 Sarcasm?,Pulak
 Ummmm well the deliverable thing is going to take time and I canâ€™t do anything yet,Pulak
 But can you send a few pics/ recordings that you may have,Pulak
 And an mp3 of an apt song,Pulak
" Idk which one, see you again is traumatic",Pulak
 I have the versions. happy birthday,Ishnoor Singh
" One minion, one Hindi and one normal",Ishnoor Singh
 Your can choose any one,Ishnoor Singh
 Lol I you want a normal song?,Ishnoor Singh
 I'm not the best at that bro,Ishnoor Singh
 Haan normal song,Pulak
 No man,Ishnoor Singh
 Not happy budday bro,Pulak
 Ummmm... Look up join Mayer,Ishnoor Singh
 *john,Ishnoor Singh
 They're useful na,Ishnoor Singh
 Haaan that guy,Pulak
 He's my go for fur this stuff,Ishnoor Singh
 You have a huge library,Pulak
 Zaroori hai dooriyan?,Ishnoor Singh
 It's actually not sad,Ishnoor Singh
" Him, ed sheeram and Bruno mars",Pulak
 The title itself is very sad,Pulak
 Ohhh,Ishnoor Singh
 Listen to it,Ishnoor Singh
 I mean,Ishnoor Singh
 I will okie dokie,Pulak
 Don't,Ishnoor Singh
 Why are you still awake tho,Pulak
 Anyways... Anything else?,Ishnoor Singh
 I was completing my gift,Ishnoor Singh
 Also... Just cause you doing have a night life... Doesn't mean I can't either,Ishnoor Singh
 Ohh nice,Pulak
 Whatcha doing,Pulak
 its an android app,Ishnoor Singh
 you cant even see it,Ishnoor Singh
 Okay okay when did I say I donâ€™t have a night life,Pulak
 Tell me about it,Pulak
 ik you dont,Ishnoor Singh
 ummm give me a min,Ishnoor Singh
 i need to test it,Ishnoor Singh
 this version might be final,Ishnoor Singh
 Haan suree,Pulak
 Send ss,Pulak
 Once youâ€™re done,Pulak
 Sounds amaze,Pulak
 damn... gimme 5,Ishnoor Singh
 i will be,Ishnoor Singh
 Ohhhhh I just figured out a way to get around the deliverable,Pulak
 Thanks I got an idea,Pulak
 hm?,Ishnoor Singh
 how?,Ishnoor Singh
 This might just work,Pulak
 It may not but it might,Pulak
 I still can get it to her by Friday but if this works itâ€™ll be ready by tomorrow afternoon,Pulak
 HM?,Ishnoor Singh
 It?,Ishnoor Singh
 The gift,Pulak
 Ok I guess I'll leave it at that,Ishnoor Singh
 ?,Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 What's her email??,Ishnoor Singh
 DW got it,Ishnoor Singh
 Note I'll sleep... All the best to you,Ishnoor Singh
 I'll explain it to you tomorrow mate,Ishnoor Singh
 Okie dokie,Pulak
 Iâ€™ll explain later,Pulak
 Sounds good,Pulak
 Good  night,Pulak
 So . Did it work?,Ishnoor Singh
 I need to obtain her post address man,Pulak
 Otherwise itâ€™s a fail,Pulak
 Just ask her?,Ishnoor Singh
 Or aunty,Ishnoor Singh
 She refuses to tell,Pulak
 Ummmm ask fur her room mates number M,Ishnoor Singh
 *?,Ishnoor Singh
 Or do you have any contact with them?,Ishnoor Singh
 .,Ishnoor Singh
" Thatâ€™s what I just tried, letâ€™s see",Pulak
 Hmmm,Ishnoor Singh
 Iâ€™m terrified of aunty do you not know that,Pulak
 Ummmm why?,Ishnoor Singh
 Aunty is the sweetest,Ishnoor Singh
 It is just how things are,Pulak
 I donâ€™t have a reason,Pulak
 Gosh... Why be a clichÃ©,Ishnoor Singh
 except that Iâ€™m dating her daughter,Pulak
 I know but still,Pulak
 She terrifies me,Pulak
 You're being dumb,Ishnoor Singh
 Have talked to her?,Ishnoor Singh
 She's sweeter than Anusha together pakka,Ishnoor Singh
 I froze up when speaking to her onceðŸ˜‚ðŸ˜‚,Pulak
 That's fine ... She won't remember,Ishnoor Singh
 You just have to send a WhatsApp message na,Ishnoor Singh
 I got it from her roommate anyway,Pulak
 So no need toðŸ˜‚,Pulak
 I know that,Pulak
 Yep,Pulak
 Like you.... Ummmm deal with Anusha me and Bharti,Ishnoor Singh
 And you're scared of ruma aunty,Ishnoor Singh
 Wow ..,Ishnoor Singh
 You're dumb,Ishnoor Singh
 I dunno natural instinct tells me to be scared,Pulak
 Brooooooooo...,Ishnoor Singh
 Btw uncle aunty reached home?,Ishnoor Singh
 Dad is in Colombia,Pulak
 Mom is reaching  in a few hours,Pulak
 Ohhh,Ishnoor Singh
 Sahi hai,Ishnoor Singh
 Yeah lol,Pulak
 Done with your goftV,Pulak
 Gift?,Pulak
 Yeah yeah I sent it before sleeping,Ishnoor Singh
 I don't think she's opened it,Ishnoor Singh
 Said phone was on charging,Ishnoor Singh
 And then she called... I was taking bath look and now she's slept or is inactive,Ishnoor Singh
 Scared me am,Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 Accha,Pulak
 Tell me what it was thoo,Pulak
 Chill you did a good job on it,Pulak
 Sheâ€™ll love it,Pulak
 She was tired but letâ€™s see if sheâ€™s awake,Pulak
 Yeah...ik,Ishnoor Singh
 Yeah no...,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 Kya hua asks her to turn up volume and then sings a terrible Hindi birthday song and shows a message,Ishnoor Singh
 The second one forces get to send a pic of her to me ðŸ˜‚... Using the camera ... And t shows her get worst photo,Ishnoor Singh
 *then,Ishnoor Singh
 4th is obviously,Ishnoor Singh
 *3rd,Ishnoor Singh
 4th makes her call me... In case that doesn't work it showsa message,Ishnoor Singh
 See ðŸ˜‚ it's all gimiks,Ishnoor Singh
 It still looks amaze,Pulak
 And seems amaze,Pulak
 You didnâ€™t hold anything back,Pulak
 Well shit my thing is friggin lame whoops,Pulak
 Shut up,Ishnoor Singh
 HM?,Ishnoor Singh
 Supp,Pulak
 Well mate,Ishnoor Singh
 Meeting people for the last time,Ishnoor Singh
 ðŸ˜‚,Ishnoor Singh
 You tell,Ishnoor Singh
 How is that happening,Pulak
 Sorry,Ishnoor Singh
 Just shifted to a new phone,Ishnoor Singh
 What was the last message?,Ishnoor Singh
 Oh damn whatâ€™s your new number,Pulak
 Are you switching Whatsapp too,Pulak
 No new number bro,Ishnoor Singh
 Just new phone for now,Ishnoor Singh
 Accha baad me milega?,Pulak
 The blackberry?,Pulak
 Yes bro,Ishnoor Singh
 Howâ€™s it running,Pulak
 Yes,Ishnoor Singh
 Awesome!!!!!!!!!!,Ishnoor Singh
 Amaze stuff,Pulak
 Better than your old one?ðŸ˜‚ðŸ˜‚,Pulak
 Duuuuuh,Ishnoor Singh
 Better than any phone on the market,Ishnoor Singh
 Indeed it isðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 Howâ€™s it going,Pulak
 Shopping started?ðŸ˜‚ðŸ˜‚,Pulak
 Have your roommates responded,Pulak
 Yes yes we talked for like a day,Ishnoor Singh
 Need a topic to get them  going again,Ishnoor Singh
 Nice nice how many days till youâ€™re on campus,Pulak
 I am gonna start orientation on saturday,Ishnoor Singh
 One day to go bro,Pulak
 Did you go shopping yetðŸ˜‚ðŸ˜‚ðŸ˜‚,Pulak
 Yessss,Ishnoor Singh
 I was mistaken ... sunday,Ishnoor Singh
 I bought lebrons,Ishnoor Singh
 So now just one day,Pulak
 Or are you already in la,Pulak
 Wtf,Pulak
 Kahan se,Pulak
 Lol yes,Ishnoor Singh
 From here,Ishnoor Singh
 I mean the shoes,Ishnoor Singh
 Haan thatâ€™s what I meant too,Pulak
 All done shopping and packing,Pulak
 And roommate kaise lag rahe hai,Pulak
 They were like cheap... 100 bucks,Ishnoor Singh
 They're cool,Ishnoor Singh
 100 bucks is not exactly cheap,Pulak
 Accha do you know if Vaibhav changed his number,Pulak
 Photo bhej,Pulak
 Not yet... we will get em together on 11th,Ishnoor Singh
 Roomies???,Ishnoor Singh
 Aah nice family plan?,Pulak
 Shoes,Pulak
 Yes,Ishnoor Singh
 Umm... as soon as my mom let's me wear em,Ishnoor Singh
 ðŸ˜‚ðŸ˜‚ðŸ˜‚,Ishnoor Singh
 Hahahaha,Pulak
 Howâ€™s uclaaaaa,Pulak
 Awesome!!!,Ishnoor Singh
 Vella hai?,Ishnoor Singh
 OK... wait... soja,Ishnoor Singh
 Haan bolo supp,Pulak
 Howâ€™s life,Pulak
 Lol was free wanna call in like 15?,Ishnoor Singh
 Half an hour?,Pulak
 Finishing hw,Pulak
 Sure.. Call me,Ishnoor Singh
 Perf,Pulak
 Kab yak free hai,Pulak
 Tak,Pulak
 Umm50 mins bro,Ishnoor Singh
 Sleeping at 10?,Pulak
 Okie dokie,Pulak
 Iâ€™ll call in a bit,Pulak
 Around 20-30,Pulak
 Yeah,Ishnoor Singh
 Hmm,Ishnoor Singh
 Do you have your new number,Pulak
 Not yet,Ishnoor Singh
 Or whatsapp,Pulak
 Whatsapp,Ishnoor Singh
 Do you have eduroam,Pulak
 Missed voice call,Pulak
 Everything works on campus lmao,Pulak
 Sure it does bro,Pulak
" Sunn, my end is working perfectly rn",Pulak
 Try checking your end,Pulak
 Umm,Ishnoor Singh
 Was in lit,Ishnoor Singh
 *f,Ishnoor Singh
 Imma try duo,Pulak
 <Media omitted>,Ishnoor Singh
 No itâ€™s not lmao,Pulak
 Youâ€™re the one getting disconnected,Pulak
 I literally just spoke to mom,Pulak
 Without any problems,Pulak
 Ughhh,Pulak
 This is definitely your wifi,Pulak
 Only messages to you arenâ€™t getting delivered,Pulak
 Abey in lift,Ishnoor Singh
 Gimme two mins,Ishnoor Singh
 Lol,Pulak
 Didnâ€™t work,Pulak
 It willl,Ishnoor Singh
 Gosh no hope you have,Ishnoor Singh
 This was definitely not my end,Pulak
 Weelll Sim card on 11th,Ishnoor Singh
 Tomorrow na,Pulak
 Odts mine either,Ishnoor Singh
 Lol evening yeah,Ishnoor Singh
 My god what is wrong with college wifi,Pulak
 Call is better lmao,Pulak
 Chal I gotta sleep,Pulak
 Coooool,Ishnoor Singh
 Early class tomorrow,Pulak
 Gn!,Ishnoor Singh
 Noobs,Ishnoor Singh
 Iâ€™ll call once you have your new number,Pulak
 Have fun,Pulak
 The suuure,Ishnoor Singh
 Gn,Pulak
 What?,Pulak
 Nothing,Ishnoor Singh
 Chal gn,Pulak
 !,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 Thatâ€™s a pretty good schedule,Pulak
 Are these all the classes you wanted,Pulak
 15 credits?,Pulak
 Yeah,Ishnoor Singh
 16,Ishnoor Singh
 Lol,Ishnoor Singh
 I am one of highest,Ishnoor Singh
 Lol same,Pulak
 How many did you have before,Pulak
 15 or something right,Pulak
 Wait what?,Ishnoor Singh
 As in how many do you have,Pulak
 Already,Pulak
 From ap,Pulak
 Wassup,Pulak
 What carrier,Pulak
 T mobile,Ishnoor Singh
 Don't remember number,Ishnoor Singh
 Ohhhh nice nice,Pulak
 All done with orientation now?,Pulak
 Yus,Ishnoor Singh
 On the way back,Ishnoor Singh
 How's college going for you?,Ishnoor Singh
 Liking her courses?,Ishnoor Singh
 If you asked this last week I wouldâ€™ve said Iâ€™m loving the courses,Pulak
 I have exams from Friday lol so I am currently in the middle of cursing myself,Pulak
 But it is a lot of fun,Pulak
 Ayy that's awesome,Ishnoor Singh
 Ysss,Pulak
 Temme when you have time... we will compensate our failed call soon,Ishnoor Singh
 My English class section has a theme on time and temporal itt,Pulak
 Temporality,Pulak
 So we research time travel and stuff in English,Pulak
 Lol,Pulak
 Over the weekend?,Pulak
 We might have a hurricane strike over the weekend lol,Pulak
 Thats great!!!!,Ishnoor Singh
 Lol close by?,Ishnoor Singh
 Anything srs ?,Ishnoor Singh
 Whenever!,Ishnoor Singh
 Exsctlyyy,Pulak
 I got lucky lol,Pulak
 Other sections have revolutions and stuff,Pulak
 Category 4,Pulak
 Look up storm Florence,Pulak
" It shouldnâ€™t hit us directly hopefully, just very heavy rain",Pulak
 But theyâ€™ve evacuated the coastal cities,Pulak
" Perfecto, Iâ€™ll be done with a couple of exams",Pulak
 Lol,Ishnoor Singh
 Saw that didnt know it was close to you,Ishnoor Singh
 Ikik,Ishnoor Singh
 ALL THE BEST,Ishnoor Singh
 Beat jay,Ishnoor Singh
 Lol,Ishnoor Singh
 Not very close but close enougj to have emergency declared in the state,Pulak
 Thanks thanks,Pulak
 Lol most of our classes arenâ€™t even common,Pulak
 But my first impression was wrong heâ€™s a cool guy,Pulak
 Lol,Ishnoor Singh
 Ahhahahaha,Ishnoor Singh
 Ohhh... enjoy?,Ishnoor Singh
 Ehh classes will continue lol,Pulak
 Lol@ya,Ishnoor Singh
 Lol letâ€™s see,Pulak
 I donâ€™t mind,Pulak
 Obvio,Ishnoor Singh
 Lol supp,Pulak
 Woke up a bit ago,Ishnoor Singh
 I had scary rookies for three days,Ishnoor Singh
 *m,Ishnoor Singh
 Why scary,Pulak
 Ummm long stories,Ishnoor Singh
 Lol,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 <Media omitted>,Ishnoor Singh
 Bro,Pulak
 Wait two days,Pulak
 They do look pretty cool,Pulak
 Sure,Ishnoor Singh
 Lol,Ishnoor Singh
 Good,Ishnoor Singh
 Oh damn I can say it today,Pulak
 Thereâ€™s a storm coming,Pulak
 Thatâ€™s one thing off my bucket list,Pulak
 Saying that with context,Pulak
 Lol,Ishnoor Singh
 You can say that when I am enroute,Ishnoor Singh
 Any university warning services I should/ can monitor/ know of?,Ishnoor Singh
 Lol no,Pulak
 As in?,Pulak
 Umm like we have ucla safe for disaster monitoring on campus,Ishnoor Singh
 Accha vaise,Pulak
 I donâ€™t know if this is for off campus,Pulak
 But we have LiveSafe,Pulak
 Oho,Ishnoor Singh
 Arrey chill tho,Pulak
 So sup?,Ishnoor Singh
 Lol dude,Ishnoor Singh
 What do you think bro,Pulak
 You dumb,Ishnoor Singh
 Chilling,Ishnoor Singh
 Shopping?,Ishnoor Singh
 Lol,Pulak
 Hm,Ishnoor Singh
 The opposite of chilling,Pulak
 First study all nighter,Pulak
 Ahahahh,Ishnoor Singh
 Don't lemme keep you bruv,Ishnoor Singh
 I am ishi,Ishnoor Singh
 Keeping girls up at night since I got whatsapp,Ishnoor Singh
 Lol,Ishnoor Singh
 Lol,Pulak
 Whatâ€™s the plan now,Pulak
 Now keeping em up on messenger?,Pulak
 <Media omitted>,Pulak
 What does it matter,Ishnoor Singh
 I prefer snap tho,Ishnoor Singh
 Dude our campus has 42 written every where,Ishnoor Singh
 Oho good job,Pulak
 Ishi going international?,Pulak
 Lol addresses or as references?,Pulak
 Bro... duh,Ishnoor Singh
 Guess again,Ishnoor Singh
 Oho,Pulak
 What is it,Pulak
 Kar toh,Ishnoor Singh
 Umm there are 42 districts,Pulak
 Ni,Ishnoor Singh
 So what is it then,Pulak
 The jersey no. Of quick ne of our best football players,Ishnoor Singh
 Quick is the name of the guy,Pulak
 no no,Ishnoor Singh
 miss typing brooo,Ishnoor Singh
 To phir?,Pulak
 i don't rmember same bro,Ishnoor Singh
 robinson?,Ishnoor Singh
 Jackie robbinson?,Ishnoor Singh
 not sure,Ishnoor Singh
 Y u asking meðŸ˜‚,Pulak
 i think na,Ishnoor Singh
 how everything bro?,Ishnoor Singh
 other than padhai?,Ishnoor Singh
 My guess was cooler,Pulak
 made friends and all?,Ishnoor Singh
 Pretty good I think,Pulak
 Haan haan,Pulak
 ayyy that's awesome,Ishnoor Singh
 My dorm is kinda half brown,Pulak
 American Indians,Pulak
 Anusha was saying not doing wellin terms of friends and al.... is she for real or umm just exaggerating?,Ishnoor Singh
 She says that to me too,Pulak
 I mean thereâ€™s lots of groups sheâ€™s hung out with,Pulak
 yeah i hears,Ishnoor Singh
 but not liked,Ishnoor Singh
 your gf has high standards,Ishnoor Singh
 ahahahaha,Ishnoor Singh
 howd you come through?,Ishnoor Singh
 Haan exactly,Pulak
 She doesnâ€™t feel like she fits in,Pulak
 To any of them properly,Pulak
 As in?,Pulak
 i think she  is thinking too much,Ishnoor Singh
 i mean,Ishnoor Singh
 she thought that here for a while too na,Ishnoor Singh
 Iâ€™ve told her that,Pulak
" From what I understand, literally every one there feels very close to her",Pulak
 yeah but that's immaterial bro,Ishnoor Singh
 the other way is what matters,Ishnoor Singh
 Exactly,Pulak
" in fact it kinda makes her feel bad she feels ""used""",Ishnoor Singh
 she  used the workd solving peoples shit,Ishnoor Singh
 she doesn't like only doing that,Ishnoor Singh
 Did she talk to you kal?,Pulak
 Or before,Pulak
 how did you make it throught the hig standards,Ishnoor Singh
 you being you,Ishnoor Singh
 umm i don't remember,Ishnoor Singh
 i think before,Ishnoor Singh
 I know,Pulak
 hmm,Ishnoor Singh
 idk if something happened,Ishnoor Singh
 See what I think is sheâ€™s not giving herself enough time,Pulak
 With different people,Pulak
 To settle,Pulak
 yeah she has too high expectations too soon,Ishnoor Singh
 and she says something ans expects something else,Ishnoor Singh
 Itâ€™s not like everybody will click immediately,Pulak
 that takes time to get,Ishnoor Singh
 i think,Ishnoor Singh
 but then i don't know very well,Ishnoor Singh
 and i blabber too much lol,Ishnoor Singh
 relax,Ishnoor Singh
 movin on,Ishnoor Singh
 And also I think sheâ€™s been having problems with her roomies too,Pulak
 i dunno bout tht,Ishnoor Singh
 i thought they were cool,Ishnoor Singh
 shizzz,Ishnoor Singh
 Arrey basic stuff,Pulak
 They can resolve all of it really easily,Pulak
 If they sit down and talk about that,Pulak
